date,ticker,nav,close,aum,shares_outstanding,daily_share_change,estimated_flow,price_effect,aum_change,residual,premium_discount,quality_flag
2016-07-20,EWY,54.0586,53.95,3316497932,61350000.0,0.0,0.0,-20868325.0,-20868325.0,0.0,-0.201,normal
2016-07-21,EWY,54.234,53.8,3327254121,61350000.0,0.0,0.0,10756189.0,10756189.0,0.0,-0.8,normal
2016-07-22,EWY,54.1809,54.31,3323998154,61350000.0,0.0,0.0,-3255967.0,-3255967.0,0.0,0.238,normal
2016-07-25,EWY,54.2511,53.7,3328303574,61350000.0,0.0,0.0,4305420.0,4305420.0,-0.0,-1.016,normal
2016-07-26,EWY,54.7611,54.29,3359594896,61350000.0,0.0,0.0,31291322.0,31291322.0,-0.0,-0.86,normal
2016-07-27,EWY,54.7697,54.59,3360119929,61350000.0,0.0,0.0,525033.0,525033.0,-0.0,-0.328,normal
2016-07-28,EWY,55.0621,54.78,3378062841,61350000.0,0.0,0.0,17942912.0,17942912.0,0.0,-0.512,normal
2016-07-29,EWY,55.2114,55.66,3387220004,61350000.0,0.0,0.0,9157162.0,9157163.0,1.0,0.812,normal
2016-08-01,EWY,56.3785,56.06,3458823674,61350000.0,0.0,0.0,71603671.0,71603670.0,-1.0,-0.565,normal
2016-08-02,EWY,55.8153,55.26,3424267489,61350000.0,0.0,0.0,-34556185.0,-34556185.0,0.0,-0.995,normal
2016-08-03,EWY,54.7007,54.87,3355888743,61350000.0,0.0,0.0,-68378747.0,-68378746.0,1.0,0.309,normal
2016-08-04,EWY,55.0791,55.13,3379099779,61350000.0,0.0,0.0,23211036.0,23211036.0,-0.0,0.092,normal
2016-08-05,EWY,55.965,55.95,3433455511,61350000.0,0.0,0.0,54355732.0,54355732.0,0.0,-0.027,normal
2016-08-08,EWY,56.4981,56.33,3466156656,61350000.0,0.0,0.0,32701145.0,32701145.0,-0.0,-0.297,normal
2016-08-09,EWY,56.9904,57.03,3496360058,61350000.0,0.0,0.0,30203403.0,30203402.0,-1.0,0.07,normal
2016-08-10,EWY,57.4582,57.27,3507823171,61050000.0,-300000.0,-17237460.0,28700573.0,11463113.0,0.0,-0.328,normal
2016-08-11,EWY,57.3681,57.74,3470769022,60500000.0,-550000.0,-31552446.0,-5501704.0,-37054149.0,1.0,0.648,normal
2016-08-12,EWY,57.1712,57.21,3458859778,60500000.0,0.0,0.0,-11909243.0,-11909244.0,-1.0,0.068,normal
2016-08-15,EWY,57.1687,57.84,3458709133,60500000.0,0.0,0.0,-150645.0,-150645.0,0.0,1.174,normal
2016-08-16,EWY,57.7683,57.59,3494983360,60500000.0,0.0,0.0,36274227.0,36274227.0,-0.0,-0.309,normal
2016-08-17,EWY,56.9349,56.83,3444563991,60500000.0,0.0,0.0,-50419369.0,-50419369.0,0.0,-0.184,normal
2016-08-18,EWY,57.5071,57.65,3479177190,60500000.0,0.0,0.0,34613200.0,34613199.0,-1.0,0.249,normal
2016-08-19,EWY,57.1515,57.25,3457666839,60500000.0,0.0,0.0,-21510351.0,-21510351.0,0.0,0.172,normal
2016-08-22,EWY,56.4142,56.52,3413060734,60500000.0,0.0,0.0,-44606106.0,-44606105.0,1.0,0.188,normal
2016-08-23,EWY,57.2198,56.87,3461799776,60500000.0,0.0,0.0,48739042.0,48739042.0,-0.0,-0.611,normal
2016-08-24,EWY,56.6271,56.8,3425940336,60500000.0,0.0,0.0,-35859439.0,-35859440.0,-1.0,0.305,normal
2016-08-25,EWY,56.9065,56.93,3442844400,60500000.0,0.0,0.0,16904063.0,16904064.0,1.0,0.041,normal
2016-08-26,EWY,56.7295,56.21,3432131906,60500000.0,0.0,0.0,-10712493.0,-10712494.0,-1.0,-0.916,normal
2016-08-29,EWY,56.2963,56.68,3405926271,60500000.0,0.0,0.0,-26205636.0,-26205635.0,1.0,0.682,normal
2016-08-30,EWY,56.7632,56.7,3434170756,60500000.0,0.0,0.0,28244486.0,28244485.0,-1.0,-0.111,normal
2016-08-31,EWY,56.8956,56.35,3442182227,60500000.0,0.0,0.0,8011471.0,8011471.0,0.0,-0.959,normal
2016-09-01,EWY,56.3616,56.61,3421150698,60700000.0,200000.0,11272325.0,-32303854.0,-21031529.0,-0.0,0.441,normal
2016-09-02,EWY,56.691,57.2,3441144428,60700000.0,0.0,0.0,19993730.0,19993730.0,-0.0,0.898,normal
2016-09-06,EWY,58.3174,58.97,3539865694,60700000.0,0.0,0.0,98721266.0,98721266.0,0.0,1.119,normal
2016-09-07,EWY,58.9928,59.02,3580860775,60700000.0,0.0,0.0,40995080.0,40995081.0,1.0,0.046,normal
2016-09-08,EWY,58.9892,58.34,3580643954,60700000.0,0.0,0.0,-216820.0,-216821.0,-1.0,-1.101,normal
2016-09-09,EWY,57.907,56.36,3514952897,60700000.0,0.0,0.0,-65691058.0,-65691057.0,1.0,-2.671,normal
2016-09-12,EWY,55.6401,56.49,3377353160,60700000.0,0.0,0.0,-137599737.0,-137599737.0,0.0,1.528,normal
2016-09-13,EWY,55.6385,54.67,3377257800,60700000.0,0.0,0.0,-95360.0,-95360.0,-0.0,-1.741,normal
2016-09-14,EWY,55.638,54.91,3377223929,60700000.0,0.0,0.0,-33871.0,-33871.0,-0.0,-1.308,normal
2016-09-15,EWY,55.6374,55.54,3377189330,60700000.0,0.0,0.0,-34599.0,-34599.0,0.0,-0.175,normal
2016-09-16,EWY,55.6368,55.2,3377154731,60700000.0,0.0,0.0,-34599.0,-34599.0,-0.0,-0.785,normal
2016-09-19,EWY,56.1256,55.73,3406822827,60700000.0,0.0,0.0,29668096.0,29668096.0,-0.0,-0.705,normal
2016-09-20,EWY,56.267,56.22,3415407750,60700000.0,0.0,0.0,8584922.0,8584923.0,1.0,-0.084,normal
2016-09-21,EWY,56.6301,57.84,3437444763,60700000.0,0.0,0.0,22037014.0,22037013.0,-1.0,2.137,normal
2016-09-22,EWY,57.8717,58.3,3512814132,60700000.0,0.0,0.0,75369369.0,75369369.0,0.0,0.74,normal
2016-09-23,EWY,57.9227,57.65,3515908800,60700000.0,0.0,0.0,3094668.0,3094668.0,-0.0,-0.471,normal
2016-09-26,EWY,57.4089,57.03,3484718106,60700000.0,0.0,0.0,-31190695.0,-31190694.0,1.0,-0.66,normal
2016-09-27,EWY,58.4333,58.3,3546898700,60700000.0,0.0,0.0,62180594.0,62180594.0,-0.0,-0.228,normal
2016-09-28,EWY,58.102,58.63,3526790004,60700000.0,0.0,0.0,-20108696.0,-20108696.0,-0.0,0.909,normal
2016-09-29,EWY,58.4802,57.81,3549745408,60700000.0,0.0,0.0,22955405.0,22955404.0,-1.0,-1.146,normal
2016-09-30,EWY,57.7252,58.13,3503916969,60700000.0,0.0,0.0,-45828439.0,-45828439.0,0.0,0.701,normal
2016-10-03,EWY,57.7222,58.04,3503738572,60700000.0,0.0,0.0,-178397.0,-178397.0,0.0,0.55,normal
2016-10-04,EWY,57.8014,56.92,3508546315,60700000.0,0.0,0.0,4807744.0,4807743.0,-1.0,-1.525,normal
2016-10-05,EWY,57.4428,57.66,3486777292,60700000.0,0.0,0.0,-21769023.0,-21769023.0,0.0,0.378,normal
2016-10-06,EWY,57.969,57.96,3518716904,60700000.0,0.0,0.0,31939612.0,31939612.0,0.0,-0.015,normal
2016-10-07,EWY,57.5592,57.61,3493843258,60700000.0,0.0,0.0,-24873646.0,-24873646.0,0.0,0.088,normal
2016-10-10,EWY,57.9803,58.2,3519402328,60700000.0,0.0,0.0,25559070.0,25559070.0,-0.0,0.379,normal
2016-10-11,EWY,56.5182,56.03,3430652069,60700000.0,0.0,0.0,-88750259.0,-88750259.0,0.0,-0.864,normal
2016-10-12,EWY,56.3566,56.09,3420842706,60700000.0,0.0,0.0,-9809363.0,-9809363.0,-0.0,-0.473,normal
2016-10-13,EWY,55.2788,55.54,3355424678,60700000.0,0.0,0.0,-65418029.0,-65418028.0,1.0,0.472,normal
2016-10-14,EWY,55.6852,55.36,3380093522,60700000.0,0.0,0.0,24668844.0,24668844.0,-0.0,-0.584,normal
2016-10-17,EWY,55.6691,55.67,3379116616,60700000.0,0.0,0.0,-976906.0,-976906.0,-0.0,0.002,normal
2016-10-18,EWY,56.5487,56.6,3432506151,60700000.0,0.0,0.0,53389535.0,53389535.0,0.0,0.091,normal
2016-10-19,EWY,56.8612,57.04,3451475690,60700000.0,0.0,0.0,18969539.0,18969539.0,-0.0,0.314,normal
2016-10-20,EWY,56.7355,56.41,3443843940,60700000.0,0.0,0.0,-7631750.0,-7631750.0,0.0,-0.574,normal
2016-10-21,EWY,56.1547,56.19,3408589744,60700000.0,0.0,0.0,-35254196.0,-35254196.0,-0.0,0.063,normal
2016-10-24,EWY,56.8693,56.47,3451965114,60700000.0,0.0,0.0,43375370.0,43375370.0,-0.0,-0.702,normal
2016-10-25,EWY,56.5534,56.49,3432788466,60700000.0,0.0,0.0,-19176648.0,-19176648.0,-0.0,-0.112,normal
2016-10-26,EWY,55.8778,55.58,3391784888,60700000.0,0.0,0.0,-41003578.0,-41003578.0,0.0,-0.533,normal
2016-10-27,EWY,55.7184,55.21,3382109551,60700000.0,0.0,0.0,-9675337.0,-9675337.0,0.0,-0.912,normal
2016-10-28,EWY,55.5813,55.25,3373787034,60700000.0,0.0,0.0,-8322516.0,-8322517.0,-1.0,-0.596,normal
2016-10-31,EWY,55.474,55.35,3367270586,60700000.0,0.0,0.0,-6516449.0,-6516448.0,1.0,-0.224,normal
2016-11-01,EWY,55.6968,54.9,3380797035,60700000.0,0.0,0.0,13526449.0,13526449.0,0.0,-1.431,normal
2016-11-02,EWY,54.5566,54.48,3311585559,60700000.0,0.0,0.0,-69211475.0,-69211476.0,-1.0,-0.14,normal
2016-11-03,EWY,55.0693,54.54,3342706874,60700000.0,0.0,0.0,31121315.0,31121315.0,0.0,-0.961,normal
2016-11-04,EWY,54.7567,54.38,3323731933,60700000.0,0.0,0.0,-18974941.0,-18974941.0,0.0,-0.688,normal
2016-11-07,EWY,55.2501,55.76,3353682405,60700000.0,0.0,0.0,29950473.0,29950472.0,-1.0,0.923,normal
2016-11-08,EWY,55.8301,56.37,3388885795,60700000.0,0.0,0.0,35203390.0,35203390.0,0.0,0.967,normal
2016-11-09,EWY,53.9126,53.73,3272494334,60700000.0,0.0,0.0,-116391461.0,-116391461.0,-0.0,-0.339,normal
2016-11-10,EWY,54.9662,53.11,3336446337,60700000.0,0.0,0.0,63952003.0,63952003.0,0.0,-3.377,normal
2016-11-11,EWY,53.5119,52.85,3157201274,59000000.0,-1700000.0,-90970206.0,-88274857.0,-179245063.0,-0.0,-1.237,normal
2016-11-14,EWY,52.7307,52.33,3079473931,58400000.0,-600000.0,-31638431.0,-46088912.0,-77727343.0,-0.0,-0.76,normal
2016-11-15,EWY,52.6094,52.91,3072388902,58400000.0,0.0,0.0,-7085030.0,-7085029.0,1.0,0.571,normal
2016-11-16,EWY,52.9013,52.41,3089438723,58400000.0,0.0,0.0,17049822.0,17049821.0,-1.0,-0.929,normal
2016-11-17,EWY,52.6376,52.39,3074033796,58400000.0,0.0,0.0,-15404927.0,-15404927.0,0.0,-0.47,normal
2016-11-18,EWY,52.2905,51.95,3053762397,58400000.0,0.0,0.0,-20271399.0,-20271399.0,0.0,-0.651,normal
